Event Date,Shift Start,Shift End,Client Name,Venue Name,Position ID,Position Title,Additional Title,Shift Position Description
2026-03-02,2026-03-02 05:00:00,2026-03-02 13:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,102,Cook 2,,
2026-03-02,2026-03-02 05:00:00,2026-03-02 13:30:00,PIH Health - Whittier Hospital,PIH Health - Whittier Hospital,110,Prep Cook 2,,
2026-03-02,2026-03-02 05:30:00,2026-03-02 11:00:00,Empowered 4 Life Foundation,@ Empowered 4 Life Foundation,110,Prep Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Amgen Thousand Oaks,Amgen Thousand Oaks - Terrace Cafe,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 13:30:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 13:30:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,110,Prep Cook 2,,Prep Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:00:00,Beverly Hills Unified School District,BHUSD - Beverly Hills High School,104,General,receiver/dish,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Capital Group - Irvine,Capital Group - Irvine | FOH,101,Cashier,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 12:00:00,Crescent Heights Ten Thousand,Crescent Heights Ten Thousand - Buffet,115,Server 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Edwards Lifesciences,Edwards Lifesciences FOH Bldg. C,101,Cashier,,Cashier
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Edwards Lifesciences,Edwards Lifesciences FOH Bldg. C,101,Cashier,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 15:00:00,"Fox Studio Lot, LLC",Fox Studio - News Cafe BoH,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 15:00:00,"Fox Studio Lot, LLC",Fox Studio - Moe's Cafe BoH,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,"Fox Studio Lot, LLC",Fox Studio - Commissary,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Martin Luther King Jr Hospital,Martin Luther King Jr. Hospital | BOH,102,Cook 2,,Cook 2
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Park Place Plaza,Park Place Plaza,110,Prep Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,Riviera Country Club,Riviera Country Club - Kitchen,102,Cook 2,,Fast Paced Kitchen. You may be asked to assist with dishes and cleaning the kitchen.
2026-03-02,2026-03-02 06:00:00,2026-03-02 12:00:00,SBLP Warner Center OPCO LLC - The Variel,The Variel of Woodland Hills,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,USC Verdugo Hills Hospital,USC Verdugo Hills Hospital,102,Cook 2,,
2026-03-02,2026-03-02 06:00:00,2026-03-02 14:30:00,VEA Hotel - Newport Beach,VEA Hotel - Newport Beach | Cooks,102,Cook 2,,Cook 2
